"id"	"NumOfSpecies"	"PAML"	"Outgroups"	"ConsistencywithSpceTree"	"Note"	"CheckAlignment"	"Clade"	"source"	"Bsu"	"Bmo"	"Bam"	"Bli"	"Bpu"	"Ban"	"Bce"	"Bth"	"Bwe"	"Bcl"	"Bha"	"Profile11"	"110808Change"	"id"	"NCBI"	"CoatLocation"	"Gene"	"id2"	"len"	"xnuLen"	"xnuFraction"			"NCBI"	"TIGR"	"CoatLocationOld"	"hamming"	"DriksUniq"	"InterPro"
"BG10106"	11	"YES"	"Bha, Bcl"	"nice"		"good"		"ids.tab"	"BG10106 "	"Bmo2616 "	"RBAM_000520 "	"NT03BL0059 "	"BPUM_0027 "	"BA_0040"	"BC_0047"	"NT02BT0050"	"BcerKBAB4_0037"	"NT03BC0085 "	"BH0058 "	"Y"		"BG10106"	"BG10106"		"YabG"	"BG10106"	290	13	0.05			"BG10106"	"Bsu0043"		0	0	"Yes, consistent"
"BG10275"	11	"YES"	"Bha, Bcl"			"good"		"ids.tab"	"BG10275 "	"Bmo2839 "	"RBAM_020960 "	"NT03BL2566 "	"BPUM_2011 "	"BA_1530"	"BC_1509"	"NT02BT1543"	"BcerKBAB4_1433"	"NT03BC2159 "	"BH1645 "	"Y"		"BG10275"	"BG10275"	"InnerLine"	"SpoIVA"	"BG10275"	492	14	0.03			"BG10275"	"Bsu2279"	"InnerLine"	0	0	"Yes, consistent"
"BG10347"	12	"YES"	"Bha, Bcl"	"OneOutlier"	"Remove BPUM_2890"	"fair"		"ids.tab.curated"	"BG10347 "	"Bmo2699 "	"RBAM_025160 "	"NT03BL3124 "	"BPUM_2451 "	"BA_4691"	"BC_4466"	"NT02BT4451"	"BcerKBAB4_4304"	"NT03BC2987 "	"BH3040 "	"Y"		"BG10347"	"BG10347"	"InnerCoat"	"YsxE"	"BG10347"	341	0	0			"BG10347"	"Bsu2806"	"InnerCoat"	0	0	"Yes, consistent"
"BG10490"	11	"YES"	"Bha"	"Bcl has problem and is removed; repeats"	"Remove NT03BC3017"	"fair"		"ids.tab.curated"	"BG10490 "	"Bmo15 "	"RBAM_006700 "	"NT03BL0713 "	"BPUM_0542 "	"BA_1902"	"BC_1830"	"NT02BT1906"	"BcerKBAB4_1765"	"NA"	"BH2082 "			"BG10490"	"BG10490"	"OuterCoat"	"CotA"	"BG10490"	513	0	0			"BG10490"	"Bsu0630"	"OuterCoat"	1	0	"Yes, consistent, 3 domain"
"BG10494"	11	"YES"	"Bha, Bcl"			"good(short Bmo)"		"ids.tab"	"BG10494 "	"Bmo3297 "	"RBAM_016870 "	"NT03BL2026 "	"BPUM_1607 "	"BA_3906"	"BC_3770"	"NT02BT3754"	"BcerKBAB4_3541"	"NT03BC2506 "	"BH2370 "	"Y"		"BG10494"	"BG10494"	"MiddleLine"	"CotE"	"BG10494"	181	18	0.1			"BG10494"	"Bsu1704"	"MiddleLine"	0	0	"None, due to repeats, but I got very good alignment; annotations are also consistent"
"BG10946"	11	"YES"	"Bha,Bcl"	"nice"		"good"		"ids.tab"	"BG10946 "	"Bmo66 "	"RBAM_028330 "	"NT03BL3496 "	"BPUM_2792 "	"BA_4173"	"BC_3963"	"NT02BT3948"	"BcerKBAB4_3789"	"NT03BC2509 "	"BH3970 "	"Y"		"BG10946"	"BG10946"	"OuterCoat"	"Tgl"	"BG10946"	245	0	0			"BG10946"	"Bsu3122"	"OuterCoat"	0	0	"No, inconsistent, but good annotations, repeats?"
"BG11609"	10	"YES"			"BG11609 wrong ATG?"	"good"		"ids.tab"	"BG11609 "	"Bmo2921 "	"RBAM_020110 "	"NT03BL2472 "	"BPUM_1933 "	"BA_1626"	"BC_1600"	"NT02BT1636"	"BcerKBAB4_1514"	"NA"	"BH2282 "			"BG11609"	"BG11609"		"YpeP"	"BG11609"	120	0	0			"BG11609"	"Bsu2198"		1	0	
"BG11666"	11	"YES"	"Bha,Bcl"	"nice"		"good"		"ids.tab"	"BG11666 "	"Bmo1156 "	"RBAM_023430 "	"NT03BL2857 "	"BPUM_2245 "	"BA_4507"	"BC_4281"	"NT02BT4279"	"BcerKBAB4_4136"	"NT03BC1953 "	"BH1387 "	"Y"		"BG11666"	"BG11666"	"InnerCoat"	"YqfT (CotN)"	"BG11666"	84	0	0			"BG11666"	"Bsu2509"	"InnerCoat"	0	0	"Yes, consistent"
"BG11811"		"YES"	"Bha, Bcl"			"good, need manual changes"		"ids.tab"	"BG11811 "	"Bmo1795 "	"RBAM_009200 "	"NT03BL1007 "	"BPUM_0844 "	"BA_0546"	"BC_0545"	"NT02BT0566"	"BcerKBAB4_0461"	"NT03BC1685 "	"BH1022 "	"Y"		"BG11811"	"BG11811"	"InnerCoat"	"YhbB"	"BG11811"	311	0	0			"BG11811"	"Bsu0892"	"InnerCoat"	"NA"	1	"None,  inconsistent, I got very good tree"
"BG12236"	11	"YES"	"Bha, Bcl"	"good"		"nice"		"ids.tab"	"BG12236 "	"Bmo1794 "	"RBAM_009190 "	"NT03BL1006 "	"BPUM_0845 "	"BA_0545"	"BC_0544"	"NT02BT0565"	"BcerKBAB4_0460"	"NT03BC1682 "	"BH1020 "	"Y"		"BG12236"	"BG12236"		"YhbA"	"BG12236"	435	20	0.05			"BG12236"	"Bsu0891"		1	0	
